datacqtr,FiscalYear,FiscalQuarter,revtq
2018Q1,2018,1,122690
2018Q2,2018,2,128028
2018Q3,2018,3,124894
2018Q4,2018,4,138793
2019Q1,2019,1,123925
2019Q2,2019,2,130377
2019Q3,2019,3,127991
2019Q4,2019,4,141671
2020Q1,2020,1,134622
2020Q2,2020,2,137742
2020Q3,2020,3,134708
2020Q4,2020,4,152079
2021Q1,2021,1,138310
2021Q2,2021,2,141048
2021Q3,2021,3,140525
2021Q4,2021,4,152871
2022Q1,2022,1,141569
2022Q2,2022,2,152859
2022Q3,2022,3,152813
2022Q4,2022,4,164048
2023Q1,2023,1,152301
2023Q2,2023,2,161632
2023Q3,2023,3,160804
2023Q4,2023,4,173388
2024Q1,2024,1,161508
2024Q2,2024,2,169335
2024Q3,2024,3,169588
2024Q4,2024,4,180554
