Date;Food;Beer;Smoke;Games;Books;Hshld;Clths;Hlth;Chems;Txtls;Cnstr;Steel;FabPr;ElcEq;Autos;Carry;Mines;Coal;Oil;Util;Telcm;Servs;BusEq;Paper;Trans;Whlsl;Rtail;Meals;Fin;Other
192802;  -2.96;  -5.22;  -5.44;  -0.91;  -1.75;  -0.03;  -2.45;  -3.44;   0.73;  -4.99;   1.58;  -2.74;  -2.74;  -1.46;   0.95;  -4.60;  -7.58;  -1.33;  -0.08;  -0.77;  -0.30;  -3.07;   2.01;   0.86;  -1.34;  -8.29;  -1.04;  -2.60;  -2.89;  -2.69
192803;   5.12;  14.47;   2.35;   8.86;   5.27;  10.03;   4.01;   9.94;  13.23;   7.76;   6.61;   6.28;   6.38;  26.21;  27.87;   6.53;   7.44;   5.22;   5.65;   6.65;   1.97;  -2.44;   3.22;  11.08;   5.64;   8.12;   8.66;   3.49;   9.57;   8.85
192804;   2.69;   4.87;  -5.89;   5.40;  21.23;   3.59;   9.92;   2.35;  -0.26;  -4.85;   2.90;   1.43;   3.48;   2.44;   1.09;   2.30;  -0.58;   1.94;  16.40;  10.96;   3.13;   2.39;   1.61;  -0.25;   4.46;  -5.85;   0.00;   0.47;   9.35;  10.95
192805;   1.60;   5.48;  -0.07;   1.87;  17.68;  -2.52;  -0.93;   9.30;   2.98;  -5.23;  -0.43;   5.52;   4.78;   1.76;   5.91;  -1.64;   1.16;   0.49;  -5.79;   1.50;   6.57;   0.79;   3.88;   6.13;  -0.43;   7.95;   3.45;  14.13;   1.69;  -0.78
192806;  -3.95;  -4.21;  -4.22;  -5.03; -10.76;  -6.67;  -7.18;  -3.12;  -2.99; -10.59;  -3.85;  -5.84;  -3.17;  -5.67;  -4.13;  -5.94;  -3.56;  -6.08;  -3.92;  -3.44;  -5.21;  -5.25;  -3.05;  -5.74;  -3.98;  -7.41;  -3.40;  -2.79; -10.74; -11.95
192807;   1.07;   0.72;   3.35;   1.55;   1.14;   0.62;   0.53;   2.40;   1.83;  -3.71;   1.93;   2.74;   0.41;  -1.01;   1.32;  -1.55;  -1.26;  -1.03;   1.18;  -1.23;  -1.28;  -5.03;   5.34;   4.34;  -0.33;   0.40;   5.73;  -0.60;   0.33;  -0.80
192808;   7.86;  12.40;   3.81;   9.48;   6.48;   9.62;   0.19;  14.72;   8.89;   1.37;   4.39;   9.64;   7.60;  12.30;   9.15;   5.94;   8.19;   1.84;   2.45;   6.48;   4.55;  15.16;   3.02;  12.73;   4.03;   4.06;  13.72;  12.38;   5.16;  12.84
192809;   1.76;   0.26;  -0.39;  11.03;  -2.37;  10.48;  -1.14;  -1.14;   3.80;   4.17;   5.31;   5.59;   3.82;   0.28;   8.23;  -0.43;   3.06;  -1.07;   5.75;   3.79;   0.14;  -0.18;   1.82;  -1.62;   0.32;   1.05;   0.16;  -0.02;   2.63;  -4.06
192810;  -0.48;   4.05;   3.45;  -1.21;   5.61;   8.15;  -3.56;   0.05;   5.23;   6.00;   5.91;   6.51;   2.13;   2.11;  -0.04;  -1.30;   3.40;  -1.70;   2.26;  -1.91;   2.97;   5.17;   1.13;  -5.47;  -1.31;  18.56;   6.10;  -2.20;   1.50;  -5.21
192811;   6.56;   5.70;   6.81;  10.40;   1.01;  16.58;   2.54;   5.05;  12.39;   9.15;   9.35;  14.91;  15.80;  23.50;   4.72;  10.13;  15.11;   6.32;  17.90;  22.01;   6.68;  17.77;   8.23;   5.11;   9.30;  11.95;  15.54;   9.55;  10.18;   3.76
