Date;Food;Beer;Smoke;Games;Books;Hshld;Clths;Hlth;Chems;Txtls;Cnstr;Steel;FabPr;ElcEq;Autos;Carry;Mines;Coal;Oil;Util;Telcm;Servs;BusEq;Paper;Trans;Whlsl;Rtail;Meals;Fin;Other
195209;  -1.77; -12.61;  -0.61;  -1.46;  -0.33;  -0.90;  -1.04;  -4.12;  -1.70;  -5.59;  -1.75;  -3.86;  -1.70;   2.27;  -0.95;  -1.60;  -2.49;   0.53;  -4.37;   0.33;  -0.35;  -2.65;  -1.17;  -0.69;  -1.90;  -4.30;  -0.57;   1.21;   0.27;  -0.50
195210;  -1.71;  -2.36;   7.19;  -6.07;   0.17;   0.99;  -3.18;  -1.38;  -2.08;  -7.16;  -2.05;  -1.56;  -2.00;  -0.59;   1.31;   0.66;  -4.98;  -2.13;   0.41;   0.34;   0.92;   1.73;  -1.94;  -1.65;   0.54;   1.36;  -1.27;  -0.58;  -3.29;  -4.89
195211;   4.77;   9.68;   8.30;   8.70;   3.50;   5.26;   7.32;   7.24;  10.14;   5.83;   7.22;   7.85;   7.29;  10.55;   7.56;   5.72;   6.17;   9.74;   1.98;   5.09;   4.07;  -0.72;   6.60;   8.36;   7.47;   4.31;   4.65;   0.11;   7.81;   8.12
195212;   1.56;  -0.46;   0.42;   6.58;   2.51;   1.17;   0.57;  -1.95;   1.68;   4.25;   2.74;   4.23;   2.36;   2.53;   7.06;   2.31;   2.12;  -1.81;   4.64;   2.01;   0.88;  -0.73;   4.12;   2.98;   3.76;   2.09;   1.24;   5.13;   4.08;   0.08
195301;   2.61;   0.30;   4.74;   0.45;   3.34;   0.63;   0.48;  -5.12;   0.20;  -2.77;   0.97;   1.42;  -0.16;  -3.34;  -0.44;   6.47;  -0.26;   2.03;  -3.06;   0.92;   1.00;   2.57;  -0.31;  -1.37;   1.74;  -0.19;   0.86;   3.38;   0.02;   2.26
195302;   0.55;   0.21;   5.26;   4.00;   4.34;  -0.67;   3.71;   2.07;  -2.63;   1.64;   0.05;  -0.39;  -0.70;   0.34;  -1.18;   1.63;   3.31;  -0.59;   0.35;   0.51;  -0.40;   0.05;   0.84;   1.24;  -1.14;  -1.55;  -0.09;   2.96;  -0.23;  -1.56
195303;  -0.43;  -1.57;  -4.47;   4.97;  -0.32;  -0.58;  -1.99;  -0.16;   0.06;  -4.92;  -0.30;  -4.74;  -0.72;  -1.65;  -4.55;  -4.26;  -3.96;  -6.62;  -0.47;   0.15;  -0.44;   3.89;   0.90;  -1.09;  -2.39;  -1.72;  -0.47;   1.30;   0.75;   1.80
195304;  -0.64;  -3.73;   4.50;  -2.54;  -1.68;  -3.30;  -1.26;  -5.34;  -3.34;  -2.78;  -2.09;  -2.04;  -1.77;   0.81;  -2.06;  -4.09;  -2.06;  -6.81;  -5.16;  -2.96;  -1.04;  -0.99;  -2.50;  -2.08;  -2.92;  -3.29;  -0.67;  -0.90;  -4.55;  -1.36
195305;   0.32;   0.80;  -0.17;  -0.02;   0.49;   0.08;   0.56;  -0.05;   0.00;  -0.39;   0.09;   0.02;  -0.40;   0.99;  -0.27;   3.07;  -1.81;  -0.35;   1.85;  -0.14;   0.37;   6.82;   1.43;   1.30;   2.75;   0.24;   1.57;  -0.11;   0.58;   2.18
195306;  -1.46;  -0.93;   1.36;  -1.88;  -3.71;  -4.72;  -1.53;  -3.31;  -1.26;  -0.37;  -4.47;  -2.80;  -4.16;  -1.87;  -2.99;  -3.37;  -3.98;  -3.45;  -0.03;  -2.82;   0.51;   1.56;  -2.25;  -0.79;  -1.26;  -6.16;  -1.95;  -3.39;  -2.94;  -1.29
195307;   2.44;   3.66;   4.68;   3.16;  -0.50;   5.61;   0.16;   3.66;   2.75;   1.36;   2.39;   3.35;   0.62;   2.42;   0.60;   0.07;   1.16;   0.41;   3.98;   3.41;   0.94;  -0.36;   2.10;   3.37;   1.47;   0.19;   2.09;   1.32;   1.30;   0.71
195308;  -2.66;  -2.50;  -5.69;  -6.37;  -4.72;  -3.74;  -1.21;   0.04;  -2.79;  -5.25;  -4.30;  -8.10;  -6.44;  -6.03;  -6.64;  -3.40;  -6.77;  -7.16;  -6.43;  -0.36;  -0.84;  -2.66;  -1.37;  -5.33;  -8.72;   0.22;  -2.43;  -8.62;  -2.97;  -1.07
195309;  -0.02;  -2.69;   3.67;  -2.72;   1.57;  -1.57;  -1.66;   0.43;   1.80;  -2.30;   0.85;  -0.47;   0.43;   5.03;  -0.39;   0.81;  -0.72;  -3.46;  -1.90;   1.64;   1.78;   0.17;   0.38;   3.78;  -1.70;  -2.04;   0.24;  -0.56;   0.51;  -1.04
195310;   1.08;   3.08;  -1.95;   2.70;   5.13;   6.53;   1.92;   2.65;   4.51;   0.37;   6.04;   8.27;   4.33;   8.61;   8.02;   5.78;   3.37;   1.54;   5.69;   4.47;   1.39;   5.61;   4.67;   7.00;   3.63;   1.31;   0.85;   0.22;   4.53;   3.97
195311;   2.87;   4.62;  -7.95;  10.25;   2.08;   4.41;   0.63;   8.03;   4.77;  -0.82;   4.36;   2.05;   3.08;   6.90;   0.85;   4.99;  -0.57;   3.22;   1.98;   3.00;   2.27;   2.21;   1.47;   6.78;   1.99;   1.62;   3.53;   2.22;   4.09;   4.11
195312;   1.23;  -1.45;  -4.57;   2.32;   2.59;  -0.19;  -1.20;  -1.35;   0.83;  -3.20;   1.42;  -0.87;  -0.24;  -0.69;  -0.76;   1.65;  -3.54;  -4.69;   0.50;   0.69;   0.53;   2.90;   3.52;   1.09;  -3.74;  -0.51;   1.33;  -0.89;   0.25;   4.77
195401;   4.10;   6.54;   2.07;   3.28;   4.10;   4.15;   2.80;   5.65;   1.04;   7.73;   6.39;   7.56;   8.09;   7.15;   5.65;   7.94;   8.19;   9.49;   8.63;   3.32;   1.89;   1.42;   6.24;   4.37;   7.92;   7.66;   3.09;   6.13;   4.19;   4.96
195402;   0.03;  -0.25;  -3.44;   2.38;   3.92;  -0.40;   1.93;  -0.18;   0.09;   1.76;   2.23;   0.31;   2.50;   5.50;   1.53;   5.72;   4.32;  -6.81;   2.92;   1.59;   2.58;   1.47;   4.06;   1.42;   0.96;   2.99;   0.29;   1.31;   1.55;   2.60
195403;   2.84;  -3.51;   0.28;   4.67;   2.43;   5.14;   1.77;   0.29;   4.54;  -2.75;   1.73;   6.08;   1.75;   7.13;   3.74;  11.82;   3.42;   0.80;   4.31;   2.96;   1.72;   2.91;  12.38;   6.16;  -0.27;  -0.76;   0.46;  -2.22;   4.92;   1.59
195404;   1.11;  -0.49;   4.03;   1.02;   5.14;   3.86;  -0.46;   1.20;   6.65;  -5.34;   3.71;   6.59;   5.37;  12.45;   3.57;   0.43;   3.08;  -1.99;   6.22;   1.25;   1.96;   1.97;   2.65;   7.84;   1.75;   1.41;   1.59;   1.99;   5.35;   4.10
195405;   1.31;   5.81;  -0.48;   3.47;   1.77;   6.18;   4.03;   1.61;   3.60;  12.96;   3.15;   6.99;   4.67;  -3.45;   4.30;   6.97;   7.56;   8.21;   2.95;   2.64;   1.23;   3.82;   5.93;   2.85;   5.37;   0.95;   2.96;   7.25;   1.46;   0.48
195406;   3.23;  -2.23;  -9.29;   1.12;   2.70;   5.32;   2.23;  -2.45;   3.79;   2.62;   5.64;   1.41;   2.21;  13.08;   1.63;   3.62;  -0.78;   3.49;  -5.95;   1.29;   0.55;   4.27;   3.33;   5.65;   1.20;   5.09;   2.40;   8.86;   2.68;   0.03
195407;   5.29;   9.08;   8.07;   7.65;   4.43;   1.97;   6.88;   8.22;   2.28;   8.47;   5.62;   7.96;   5.07;  -1.33;  10.20;  13.03;   5.43;   0.95;   4.21;   5.42;   4.36;   5.16;   1.25;   5.81;   6.62;   5.95;   4.12;   9.74;   7.47;   3.00
195408;  -3.04;   0.18;  -1.38;   5.84;  -0.16;   2.29;  -3.98;  -2.58;  -3.41;  -4.24;  -3.50;  -6.36;  -2.99;  -5.24;  -3.71;   1.27;  -4.30;   3.68;   0.53;  -1.73;  -1.42;   0.14;  -3.53;  -4.45;  -4.13;  -1.41;  -0.20;  11.92;  -0.32;  -0.11
195409;   3.55;   2.24;   5.65;   5.74;   2.72;   5.53;   2.65;   2.81;   7.26;   5.07;   6.08;   7.67;   5.71;   7.35;  13.82;   2.93;   8.71;   7.62;  10.04;   2.01;   2.50;   4.61;   4.59;   5.54;   3.76;   1.78;   4.97;   9.23;   3.15;   5.46
195410;  -2.37;  -1.21;  -2.66;  -5.85;  -2.88;  -1.17;  -0.24;  -1.63;  -4.39;  -1.75;   2.62;   0.26;   1.70;  -2.77;  -0.41;   0.24;  -1.14;  -5.28;  -1.96;  -3.81;  -0.85;   1.81;  -0.34;  -0.29;   2.68;  -2.99;  -2.52;  -1.32;  -1.33;   1.45
195411;   6.39;   6.87;   2.99;   8.39;   5.08;   7.67;   3.96;  12.61;  14.85;  10.28;  14.90;  15.49;   9.80;   9.85;   5.72;   9.77;  11.35;  20.43;   7.99;   5.68;   3.43;   5.51;  19.95;  11.98;  11.68;   8.19;   8.45;   4.24;  10.66;   6.26
195412;   2.53;   8.29;   7.51;  10.21;   4.92;   2.91;   4.91;   6.15;   3.74;   7.41;   2.42;  12.27;   6.20;   4.24;   7.67;  14.78;   3.76;  10.20;   6.44;   3.54;   1.58;   7.79;   0.96;   5.46;  12.11;   5.28;   2.01;  14.14;   6.05;   3.41
195501;   0.20;  -3.98;   1.33;  -1.42;   0.24;  -1.12;   1.66;  -2.88;  -2.76;   1.46;   0.14;   3.40;   0.01;   4.40;   0.77;   8.75;   3.29;  -3.45;   0.44;   1.46;   0.80;   0.65;   1.78;  -3.84;   0.84;  -1.42;   1.85;   3.86;   0.17;  -0.53
195502;   1.81;   1.64;  -0.91;   2.23;   4.63;   4.47;   2.78;   2.86;   4.51;   1.41;   3.15;   4.43;   4.22;   4.52;  -0.99;   3.75;  -0.05;   7.40;   2.38;   3.64;   3.99;   7.68;   4.24;   4.74;   5.77;   0.66;   1.29;   1.91;   2.01;   6.56
195503;  -0.25;  -2.14;  -0.15;  -3.09;  -3.34;  -1.95;   1.10;   6.11;  -1.10;  -5.26;   0.65;   2.97;   0.52;  -3.20;   0.11;  -2.37;   8.79;   0.23;  -0.24;  -0.74;  -0.19;  -4.37;   3.00;   1.02;  -0.01;  -2.38;  -1.36;  -0.79;   1.10;  -2.14
195504;   4.20;  -1.41;   8.79;   5.96;   0.50;   2.20;   0.03;   0.01;   8.05;   2.64;   4.94;   2.67;   1.67;   4.25;   5.38;  -7.50;  -0.09;  -2.14;   0.58;   2.56;   1.97;  -2.63;   7.41;   4.70;   6.18;   2.28;   1.79;   8.19;  -1.43;   7.10
195505;  -0.14;   2.96;  -2.16;   0.68;  -0.50;   0.12;   0.71;   3.17;   5.37;   0.19;   2.27;   2.09;  -0.95;  -0.39;  -0.65;  -0.62;   6.00;   8.66;  -0.69;  -0.15;   1.29;  -2.82;   0.89;   3.74;   0.60;   0.33;   3.25;   0.46;   2.34;  -3.26
195506;   2.73;   3.40;  -1.29;   3.63;   5.13;   2.36;   3.25;   0.17;  12.28;   5.82;   3.94;  12.46;   4.82;   3.20;   9.47;  -0.26;   0.55;   9.60;  11.22;   1.67;   0.69;   0.13;   1.88;  11.68;   1.75;   0.54;   4.70;   0.34;   3.85;  -0.89
195507;   0.85;   0.53;   7.30;  -0.10;   1.25;   1.90;   3.29;   0.13;  -2.05;   2.88;   0.11;   0.47;  -0.39;  -3.03;  17.46;  -1.97;  -4.37;  -2.67;   2.82;   3.68;   2.61;   2.50;  -1.96;  -3.62;  -1.46;   2.95;   1.97;   5.14;  -0.78;  -0.65
195508;  -1.16;  -0.27;   1.67;  -1.05;  -2.72;   1.41;  -0.61;   0.16;   2.47;  -1.46;   1.17;   6.24;   0.27;   2.10;  -3.34;   6.75;   6.42;   5.79;  -1.15;   0.05;  -2.44;   1.63;  -1.20;  -0.77;  -0.57;  -1.60;   1.85;  -1.83;   0.79;   4.91
195509;  -2.98;  -0.81;   3.23;  -5.32;   0.23;  -3.09;   0.21;  -3.18;  -2.64;  -1.38;   0.53;   0.67;  -0.15;  -5.81;   9.22;  -2.63;  -3.80;  -3.78;  -0.35;  -2.68;   1.09;   1.23;  -1.50;  -0.20;  -1.78;  -4.41;   3.87;  -3.67;  -3.92;  -0.83
195510;  -0.18;  -6.03;  -0.37;  -3.31;  -0.16;  -2.20;  -1.31;   0.82;  -2.41;  -1.38;  -2.80;  -5.47;  -1.93;  -6.19;  -4.91;   2.73;  -4.92;   0.84;  -1.00;  -0.94;  -1.15;   3.26;  -3.57;  -2.66;  -2.95;   1.75;  -2.70;  -4.11;  -1.20;  -1.01
195511;   3.62;   3.26;   3.82;   2.72;   6.99;   3.20;   0.35;   6.29;   7.57;   3.26;   5.66;   8.89;   9.11;  12.25;   9.42;  11.51;  10.55;  11.01;   8.60;   3.40;   1.63;  -1.64;   6.76;   7.72;  10.85;   1.46;   6.31;   1.30;   3.98;   2.36
195512;   0.93;   2.10;   1.71;  -1.53;   1.53;  -0.09;   1.33;   6.23;   2.32;   0.60;   2.58;   2.08;   4.04;   6.41;  -2.95;   7.61;  -2.18;   7.96;   3.65;  -0.12;   0.87;   1.60;   2.32;   3.57;  -1.83;   2.66;  -0.99;   4.45;   2.08;   2.17
195601;  -2.16;   0.37;   0.21;  -5.40;  -1.44;  -3.54;  -1.77;  -6.50;  -4.62;  -1.31;  -4.46;  -3.89;  -4.15;  -5.71;  -6.95;  -6.44;  -2.67;   5.86;   0.49;  -0.34;   1.87;   2.31;  -4.33;  -4.46;  -2.28;  -0.49;  -4.69;  -3.86;  -3.57;  -2.50
195602;   2.35;   0.07;  -3.24;   8.04;   3.76;   6.76;   1.30;   8.29;   4.03;   0.34;   5.15;   4.85;   5.60;   6.11;   5.42;   3.77;   6.86;  12.10;   4.20;   1.94;   0.16;   6.60;   6.56;   7.57;   2.37;   5.85;   2.66;  -0.27;   3.57;   3.73
195603;   1.75;   4.71;   1.63;   0.40;   3.04;   4.27;   0.26;   7.26;   5.66;  -0.49;  11.77;   9.94;   4.38;   8.65;   4.61;   0.54;   1.67;   9.41;  11.46;   3.77;   1.43;   6.72;  13.59;  10.92;   6.98;   2.39;   0.28;   2.77;   5.67;   8.68
195604;  -0.28;   2.18;   7.05;   2.92;   2.58;  -0.70;  -1.63;   2.77;  -0.78;  -3.40;   0.00;   3.63;   2.88;  -2.56;  -5.01;   2.22;  -1.79;  -6.25;   3.73;  -2.18;  -0.88;  -4.96;   4.39;   1.89;   1.66;   0.39;  -1.95;  -0.72;   0.01;  -3.92
195605;  -2.72;  -3.86;  -4.08;  -3.60;   1.59;  -6.00;  -3.83;  -1.24;  -5.90;  -5.79;  -3.55;  -9.45;  -2.77;  -7.56;  -4.81;  -5.00;  -7.22;  -3.19;  -6.44;  -0.73;  -1.06;  -4.73;  -1.85;  -4.18;  -5.58;  -2.75;  -4.71;   2.71;  -5.31;  -2.52
195606;   0.47;   1.88;   0.66;   1.15;   3.75;   0.85;   1.44;   3.60;   4.14;  -0.58;   4.52;   4.99;   6.33;   5.19;   7.41;   3.84;  -0.13;  10.40;   2.65;   2.36;   1.28;   3.38;   9.90;   4.12;   1.59;   0.56;   2.31;   1.92;   1.48;   3.82
195607;   2.47;   0.44;   1.82;   1.11;   4.47;   3.12;   0.34;   3.10;   2.74;   0.53;   5.67;  10.87;   8.69;   5.33;   4.59;   5.85;   0.97;   2.25;   6.09;   5.24;   2.65;  -0.97;   5.21;   4.95;   2.16;   3.54;   4.71;   4.61;   2.56;  -0.97
195608;  -1.71;   1.89;  -2.14;   1.41;   4.00;   2.00;  -0.99;  -3.08;  -3.68;  -2.62;  -3.89;  -1.89;  -3.57;  -3.04;   0.47;   5.43;   3.68;  -5.87;  -5.29;  -2.49;  -1.39;   6.76;  -4.35;  -7.47;  -5.26;  -0.35;  -2.83;  -2.72;  -2.66;  -3.62
195609;  -3.32;  -1.73;  -4.17;  -2.70;  -6.29;  -4.23;  -3.57;  -3.70;  -6.75;  -1.96;  -6.23;  -4.65;  -3.14;  -6.88;  -2.37;  -4.76;  -4.88;  -2.09;  -5.86;  -3.87;  -2.82;  -5.29;  -6.86;  -9.60;  -4.06;  -1.69;  -4.58;  -4.50;  -4.61;   3.08
195610;  -0.32;  -2.00;   2.72;   1.05;   2.12;  -2.08;   0.17;   0.58;   0.83;   1.62;  -1.39;   0.68;   3.43;   3.33;  -0.14;   3.74;  -0.86;   8.03;   0.42;   1.13;  -1.40;   1.52;   3.14;   1.29;   2.00;   2.32;   1.28;   1.54;   0.53;  -3.07
195611;  -0.16;  -1.67;  -1.08;   0.27;  -0.27;  -1.60;  -1.00;  -1.36;  -3.31;  -1.58;  -3.33;   2.39;   1.94;  -1.38;  -3.43;   4.45;   1.13;   5.28;   5.29;   0.41;   1.53;  -0.07;   3.91;  -2.76;  -0.49;   3.00;  -2.49;   0.57;   1.64;  -1.96
195612;   0.92;   5.67;   2.41;   3.31;  -2.93;   5.52;   1.25;   6.07;   5.27;  -0.97;   5.44;   4.03;   6.64;   3.81;   2.27;   3.87;   2.37;  -1.01;   4.19;   1.82;   2.58;   3.02;   5.36;   1.88;   1.99;   3.65;  -0.70;   0.08;   1.33;   5.62
195701;   1.34;  -0.13;   4.59;   1.55;   1.78;  -4.04;   1.34;  -2.27;  -5.64;   2.32;  -4.42;  -9.56;  -2.00;  -7.77;  -6.46;  -1.85;   0.76;  -4.94;  -4.11;   2.63;   2.90;   6.36;  -2.56;  -2.93;  -2.20;   4.92;  -1.70;   0.84;   1.47;  -3.45
195702;  -1.28;   1.37;  -1.13;  -2.30;   0.30;  -2.44;   0.47;  -0.35;  -1.91;  -7.30;  -1.50;  -4.14;  -2.16;   0.49;  -2.10;  -6.61;   1.19;  -6.92;  -2.20;  -0.30;   0.33;  -0.27;  -2.23;  -1.13;  -4.25;   1.09;  -1.08;  -5.06;  -0.51;   0.12
195703;   1.51;   1.82;   1.11;   2.70;   1.28;   5.12;   1.75;   8.23;   2.54;   2.20;   1.79;   2.22;   1.89;   5.38;   0.66;  -0.21;   5.08;   1.33;   3.19;   1.69;   1.52;   3.63;   3.93;   0.89;   0.99;   0.43;   2.10;   2.57;   3.60;   4.68
195704;   1.70;   1.69;   0.49;   2.66;   7.77;  -0.48;  -1.76;   5.43;   5.48;   0.02;   1.12;   4.41;   2.92;   7.84;   7.99;   1.91;  -0.70;  -1.77;   7.06;   3.16;   0.44;   0.07;   9.18;   0.74;   2.53;   0.72;   0.09;   3.31;   5.46;  -0.16
195705;   0.94;   4.24;  -0.89;   4.25;   5.88;  -0.87;   0.77;   4.80;   3.54;   4.81;   5.35;   2.18;   2.55;   4.46;   1.69;  -0.38;  -0.62;   5.43;   7.67;   2.25;   1.04;  -2.29;   7.66;   5.01;   0.70;   3.70;   2.51;   0.74;   2.84;  -1.12
195706;  -0.57;   0.88;  -1.57;   0.48;   2.44;   0.04;  -1.64;   6.48;  -0.11;  -1.85;   0.09;   1.36;  -2.33;   2.82;   0.27;  -5.62;   0.02;  -2.47;  -1.74;  -5.12;  -2.11;   0.78;   8.56;   4.30;   0.40;  -0.03;  -2.07;  -0.81;  -4.19;   0.51
195707;   1.84;  -1.66;  -0.48;   1.72;   0.01;   4.86;  -1.30;   2.60;   1.61;  -0.59;   1.65;  -0.32;  -1.86;   1.14;   3.73;  -3.35;   0.90;  -1.09;   1.03;   0.01;  -0.24;   2.08;   1.00;  -0.58;   2.20;   0.11;   3.13;   1.17;  -0.59;  -0.59
195708;  -1.97;  -4.00;   2.91;  -4.99;  -3.99;  -2.08;  -3.16;  -2.97;  -6.68;  -7.02;  -7.03;  -7.02;  -5.69;  -6.52;  -3.43;  -1.47;  -5.97;  -6.97;  -5.74;  -2.58;  -0.12;   1.03;  -7.72;  -6.00;  -6.81;  -9.17;  -2.27;  -3.65;  -3.18;  -4.38
195709;  -1.69;  -5.23;   5.36;  -5.52;  -0.14;  -1.76;  -2.26;  -3.04;  -6.51;  -5.42;  -5.15;  -8.76;  -7.29;  -6.69;  -7.39;  -9.70; -10.03;  -9.40;  -7.96;  -1.74;  -2.25;   2.30;  -5.99;  -4.15;  -7.79;  -4.10;   0.73;  -2.56;  -3.97;  -3.33
195710;  -1.91;  -2.10;   0.99;  -9.65;  -7.53;  -2.87;  -3.58;  -0.68;  -3.49;  -7.76;  -3.95;  -7.62;  -6.43;  -2.30;  -3.41;  -3.88;  -6.71;  -4.72;  -5.78;  -0.70;  -2.10;  -2.24;  -1.11;  -3.85;  -7.25;  -8.50;  -3.63;  -8.30;  -5.53;  -4.09
195711;   3.46;   5.26;   3.89;   4.22;   1.37;   3.79;  -1.65;   8.63;   4.94;   2.58;   4.79;  -1.00;  -1.63;   8.19;  -3.94;  11.93;  -3.18;  -1.46;   2.48;   4.40;   1.49;   2.90;   4.32;   6.64;  -1.85;   2.18;   1.71;  -2.77;   4.39;  -1.08
195712;   1.28;  -2.95;   3.18;  -4.35;  -0.05;   2.90;  -2.50;  -0.48;  -3.26;  -7.43;  -2.80;  -8.86;  -7.44;  -4.72;  -6.52;  -5.77;  -7.28;  -7.85;  -6.97;   2.56;   1.26;  -1.77;  -1.27;  -2.97;  -6.60;  -3.53;  -1.62;  -1.74;  -0.66;  -0.62
195801;   6.89;   7.31;   5.98;   9.97;   5.51;   2.37;   8.53;  -0.41;   3.39;  16.24;   6.68;   8.56;  10.66;   3.51;   3.64;   5.37;   8.73;   9.06;   1.49;   6.06;   4.26;   4.27;   4.69;   4.79;  12.98;   4.63;   7.67;  11.81;   8.57;   5.23
195802;   3.18;   2.89;   0.34;  -0.61;  -4.00;   2.36;   1.81;   4.95;  -3.78;  -1.68;  -0.81;   0.41;  -3.40;  -3.74;  -2.23;  -1.98;  -3.33;  -2.71;  -4.66;   1.29;   0.66;   4.06;   0.97;  -1.92;  -3.57;   0.43;   1.46;  -0.04;   1.33;   2.81
195803;   3.89;   2.96;   6.33;   2.09;   3.30;   4.33;   3.33;   8.17;  -0.31;   2.36;   3.14;   2.05;   3.93;   0.91;   2.52;   0.35;   8.60;   1.08;   8.02;   2.07;   1.17;   4.91;   4.62;   3.35;   0.48;   3.82;   4.08;   7.63;   3.27;   8.40
195804;   3.22;   3.68;   4.54;   1.97;   4.95;   2.14;   2.90;   6.56;   0.85;   5.12;   1.26;   1.37;   2.77;  -1.51;   4.36;   3.61;   0.97;   4.76;   5.15;   4.95;   2.70;  -0.26;   1.47;   1.72;   7.17;   0.84;   3.16;   1.72;   2.10;  -1.41
195805;   3.06;   3.44;   0.57;   5.41;   3.47;  -0.50;   3.09;   1.44;   1.66;   5.14;   1.97;   6.86;   3.07;   2.27;   4.20;   5.19;   4.53;   6.32;   0.25;   1.45;   2.11;   1.82;   0.65;   4.86;   4.04;   2.71;   3.69;   8.48;   2.15;   1.92
195806;   2.85;   3.07;   3.98;   5.26;   0.55;   3.88;  -4.27;   3.55;   3.05;   0.17;   2.68;   0.93;   3.12;   1.66;   3.06;   1.65;   3.62;   2.44;   4.97;   2.19;   1.67;   2.34;   5.84;   1.56;   2.58;   1.79;   2.17;   1.94;   2.94;   6.76
195807;   1.42;   3.30;  -0.03;   2.45;  -0.92;  10.01;   2.72;   5.98;   7.86;   7.50;   6.57;  11.58;   8.44;   4.84;  10.23;   5.98;   3.83;  12.45;   0.50;   1.12;   0.90;  -0.40;   2.55;   5.59;   8.48;   4.27;   1.70;   3.16;   2.02;   1.51
195808;   2.33;   5.07;   2.29;   7.06;   8.61;  -1.57;   2.79;   1.98;   2.56;   4.34;   2.36;   3.05;   3.69;   2.14;  -0.19;   0.46;  -0.45;   2.61;   1.91;  -1.00;   2.41;   1.48;   2.01;   2.90;   2.16;   3.53;   5.87;   6.44;   4.60;   9.56
195809;   1.93;   6.20;   8.01;   8.39;   7.77;   4.53;   4.04;  11.74;   2.87;  10.11;   3.77;   8.36;   4.20;   5.67;   9.49;  -0.53;  -0.87;  -0.37;   3.35;   3.46;   5.08;   5.37;   6.78;   4.24;   7.99;   2.34;   4.11;  10.92;  -0.36;  -1.83
195810;   1.78;   6.01;   1.70;   7.93;   5.25;   9.22;  -0.23;   1.05;   0.80;   3.44;   1.36;   4.91;   3.24;   4.02;   2.78;   6.10;   3.08;   2.56;   1.31;   4.28;   1.46;   4.38;   5.00;   2.34;   3.76;   1.21;   1.18;   3.76;   3.69;   3.35
195811;   4.82;   5.56;   1.75;   4.78;   8.08;   4.69;   2.24;   8.04;   3.40;   2.68;   4.07;   0.60;   4.20;   3.91;   2.93;   0.21;   1.69;  -0.98;   1.98;   2.96;   2.15;   6.89;   4.83;   3.55;   5.76;   4.10;   6.01;  14.44;   2.33;   3.73
195812;   2.90;   0.72;   3.77;   0.31;  -1.66;   1.99;   4.17;   4.61;   5.81;   3.46;   5.07;   6.74;   2.86;  11.47;   3.65;   1.48;   4.16;   4.01;   1.21;   5.94;  13.40;   9.09;  14.90;   3.19;   2.31;   5.25;   5.83;  -1.69;   4.26;   8.14
195901;   2.34;   2.51;   8.76;   4.49;   3.87;   2.05;   8.14;  -0.62;  -0.27;   3.26;   1.82;   1.38;   1.27;  -0.68;  -0.42;   0.20;   4.73;   1.87;   0.49;   1.25;   3.91;   5.49;  -3.81;   0.76;   3.77;   0.09;   3.64;   2.58;  -2.60;  -1.33
195902;   2.93;   3.01;   0.76;   6.10;  -1.80;   3.52;   5.25;   3.88;   5.30;   5.71;   3.34;   1.31;   2.99;   4.54;  -0.60;   5.45;  -1.43;  -1.06;  -7.54;   1.26;   4.86;  -0.86;   5.80;   3.51;   1.27;   1.34;   2.69;   3.22;   2.36;   4.62
195903;  -0.60;  -2.44;   2.35;   4.87;   0.29;   8.51;  -0.75;   4.25;   1.16;   1.26;  -0.02;  -3.68;  -0.22;   3.15;  -1.15;   3.62;   3.40;   0.59;   2.17;   1.64;  -0.52;  14.59;   1.46;  -0.73;  -0.48;   0.05;  -1.80;   5.98;  -2.97;   0.88
195904;   2.12;   1.50;   3.95;  11.22;   0.07;  -1.25;   2.14;  11.93;   7.18;   4.19;   4.11;   2.11;   4.01;   7.06;   9.08;   1.41;  -6.88;  -0.43;   1.76;  -1.13;   4.61;   2.59;   9.88;   1.76;   3.62;   7.05;   1.20;  -0.97;   1.52;   2.53
195905;   3.97;   0.85;  -5.90;  -1.55;  -1.80;   2.61;   0.03;  -1.07;   5.81;   2.43;   3.71;   5.09;   4.55;   1.21;   4.60;   1.89;  -1.34;  -1.15;  -0.95;  -1.10;  -1.01;  -7.13;   8.54;  -0.93;   1.10;  -0.99;   2.95;  -0.42;   0.74;   6.15
195906;  -0.03;   0.35;   4.59;   4.17;   0.70;  -0.88;   1.37;   6.60;  -1.56;   6.63;   1.40;   4.91;   4.34;  -0.92;   0.31;  -4.26;  -4.02;   2.16;  -2.81;  -2.23;  -1.10;   4.51;  -1.04;   2.39;   1.58;   1.68;   2.30;   5.86;   1.98;   0.12
195907;   3.66;  10.28;   0.75;   4.13;   9.04;   2.32;  -1.02;   4.74;   6.35;   7.07;   1.97;   3.41;   2.12;   0.57;   7.21;   0.28;   1.08;  10.96;   4.86;   3.82;   0.60;  -1.09;   0.33;   3.05;  -0.68;   2.62;   2.06;   1.97;   1.84;   0.13
195908;  -0.83;  -2.43;   3.16;  -2.06;   2.58;   3.28;  -1.19;  -3.57;  -3.37;  -3.09;  -2.56;   2.06;  -2.07;  -2.33;   0.78; -10.93;  -1.80;  -0.04;  -3.21;   1.34;   0.61;   0.50;  -2.67;  -0.50;  -2.80;  -1.12;   0.93;   2.97;  -1.39;   0.40
