firm_id,date,grossprofit,earnsurprise,sue,fscore,xfin,volatility,accruals,inssell,booktomarket,momentum,ret
0092G,2021-02-09,-0.5889292630034362,1.4836804142489428,-0.06178114992998727,-0.4045401573463116,0.0077866595716921455,-0.6151083254841291,1.815273685554927,0.26762685010560927,-1.0951108884428895,-1.945683463796304,-0.5013122401286627
0CMBO,2021-02-09,1.289314724589128,-0.30237210656978936,-0.08579537379013012,1.1222948535452937,-1.7413865684257548,1.8444998517343145,-1.0035768519383077,0.1333293006045029,0.0837618816734181,0.08120931546439107,-0.43008999769266804
0XVTH,2021-02-09,0.17500160249345462,1.3064041227084635,-0.5640849902465385,0.6357309809986226,-1.3192044803653833,-0.7263806160272273,-1.5989589045295363,-0.060123303483633504,-0.525623782747713,-1.5999327385139115,-0.5599099105439218
138HO,2021-02-09,2.0561028668605568,-0.3472077985768776,-2.064565569680805,-0.3550154578884648,-0.5478211862064553,-0.9910622956516603,1.626040569689181,-0.5583765972811183,-0.19438183558670036,-0.3176390425094432,-0.46329413195963687
147MM,2021-02-09,-0.9831364276008338,-1.3619656982155146,0.3010670155804229,-0.5753181054052648,0.2538407089338346,1.9263316560522015,1.51628301485139,0.17309666614573846,-0.8004340249396656,-0.9214195500756727,-0.6831425058860462
147TQ,2021-02-09,0.6211005155233397,-0.32379617171721053,-0.5699322311408344,0.8001843932058788,-1.5995891571404477,1.8423018381928022,-1.0406464044551529,0.7674235788472472,0.5857243253499438,-0.7009740737367798,-0.5333564231244715
1NGW1,2021-02-09,-0.6663940840118314,0.2908621820886697,1.2132685870237367,0.8891361401554392,-0.8016906322072769,-1.05870490156302,-0.5633614561394265,-0.05849733236796517,2.055196067820575,-0.38842417723628364,-0.44514828948226776
1SSSJ,2021-02-09,1.4650715947493334,-0.9658342561229272,-0.21434162902935724,1.188840503745327,-0.15053113271471175,0.20296390636002462,-1.178196239455173,1.2780932295040124,1.0072648641540316,0.5083187067121415,-0.5742971675551882
1VDLV,2021-02-09,0.732810122013608,0.5035177510791292,-1.8622188480850903,-0.40141282949174645,0.2525215295244725,-0.36361056895702737,1.3101903059514721,0.4113027054139183,-0.21729584002063065,-1.0507801645179804,-0.5902520261223825
25DM1,2021-02-09,0.5335353759369093,1.5855333067261193,-0.29510503456220694,0.6736408622048208,0.9732867778892313,0.536722898850333,1.6158956062565621,-0.8500007288496767,-0.6724449902082574,-0.25722174953441584,-0.39260271716520745
264JY,2021-02-09,0.07671649763988854,0.5071968312155318,0.6560915572840528,0.3139318305329009,1.0744256411831008,-0.43711649443827033,0.41356230450274156,0.8546255197176246,-0.6830486808282128,2.211857205083435,-0.44874924123908416
2A068,2021-02-09,-0.8769517859905573,-0.04875308806241743,-0.2785211245235382,-1.216456844873798,-0.06696528147201593,-0.647020756758825,0.48197540765134395,1.64935639277669,2.11389143583109,-0.036489154828839306,-0.5906898195633112
