ticker,gvkey,permno,as_of,latest_close_price,latest_close_date,shares_outstanding,market_cap_usd,book_to_market,gross_profitability,xfin,fscore,accruals,volatility_daily,momentum_market_adj,earnsurprise,sue,earnings_announce_date,price_t_minus_5,price_t_minus_5_date,funda_datadate,fundq_datadate
EL,061567,82642,2026-04-24,77.81999969482422,2026-04-24,361727043,28149598375.869667,0.14319920114581258,0.5744017695556003,-0.0574602855419264,5,-0.03173067128450647,0.02938594682060319,0.02983642112313034,-0.00330867362851331,0.018197704956823206,2026-02-05,114.84964752197266,2026-01-29,2025-06-30,2025-12-31
COTY,012151,13983,2026-04-24,2.4200000762939453,2026-04-24,880006359,2129615455.919157,1.8523062410332858,0.3405611495083013,-0.011253222704636481,4,-0.06757183739426384,0.03172964808693416,-0.7881799735637072,-0.10289389414598041,-0.051446947072990204,2026-02-05,3.109999895095825,2026-01-29,2025-06-30,2025-12-31
ELF,027907,16318,2026-04-24,66.27999877929688,2026-04-24,59052239,3913982328.8347473,0.2968449784355309,0.7849748633004187,-0.05793178039938309,5,-0.030415454529805656,0.04426568181015637,-0.20656501388816828,-0.00047069896940332717,0.004118615982279121,2026-02-04,84.9800033569336,2026-01-28,2025-03-31,2025-12-31
